# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Web Edition
# File: D:\Projekte\cycloneIII_3c25_niosII_video.csv
# Generated on: Thu Feb 11 10:14:05 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
top_HSMC_D5,Unknown,PIN_M3,2,B2_N0,,
top_HSMC_D7,Unknown,PIN_T2,2,B2_N0,,
top_HSMC_D9,Unknown,PIN_H15,6,B6_N0,,
top_HSMC_D11,Unknown,PIN_H16,6,B6_N0,,
top_HSMC_D13,Unknown,PIN_N16,5,B5_N0,,
top_HSMC_D15,Unknown,PIN_N15,5,B5_N0,,
top_HSMC_D17,Unknown,PIN_R16,5,B5_N0,,
top_HSMC_D19,Unknown,PIN_T16,5,B5_N0,,
top_HSMC_D3,Unknown,PIN_L6,2,B2_N0,,
top_HSMC_D1,Unknown,PIN_D3,1,B1_N0,,
top_HSMC_CLKIN_n1,Unknown,PIN_F18,6,B6_N0,,
top_HSMC_D6,Unknown,PIN_N7,3,B3_N0,,
top_HSMC_D4,Unknown,PIN_T1,2,B2_N0,,
top_HSMC_CLKIN0,Unknown,PIN_A9,8,B8_N0,,
top_HSMC_D2,Unknown,PIN_M5,2,B2_N0,,
top_HSMC_D0,Unknown,PIN_H6,1,B1_N0,,
top_HSMC_TX_n14,Unknown,PIN_P18,5,B5_N0,,
top_HSMC_CLKOUT0,Unknown,PIN_A1,8,B8_N0,,
top_HSMC_TX_n10,Unknown,PIN_E18,6,B6_N0,,
top_HSMC_RX_n5,Unknown,PIN_H1,1,B1_N0,,
top_HSMC_RX_p4,Unknown,PIN_C2,1,B1_N0,,
top_HSMC_TX_p9,Unknown,PIN_R2,2,B2_N0,,
top_HSMC_TX_n8,Unknown,PIN_M1,2,B2_N0,,
top_HSMC_TX_p8,Unknown,PIN_M2,2,B2_N0,,
top_HSMC_SCL,Unknown,PIN_F3,1,B1_N0,,
top_HSMC_SDA,Unknown,PIN_E1,1,B1_N0,,
top_HSMC_TX_n9,Unknown,PIN_R1,2,B2_N0,,
top_HSMC_RX_n4,Unknown,PIN_C1,1,B1_N0,,
top_HSMC_RX_p5,Unknown,PIN_H2,1,B1_N0,,
top_HSMC_TX_p10,Unknown,PIN_E17,6,B6_N0,,
top_HSMC_TX_p12,Unknown,PIN_L17,5,B5_N0,,
top_HSMC_TX_n12,Unknown,PIN_M18,5,B5_N0,,
top_HSMC_TX_p13,Unknown,PIN_L14,5,B5_N0,,
top_HSMC_TX_n13,Unknown,PIN_L15,5,B5_N0,,
top_HSMC_RX_p8,Unknown,PIN_P2,2,B2_N0,,
top_HSMC_RX_n8,Unknown,PIN_P1,2,B2_N0,,
top_HSMC_RX_p9,Unknown,PIN_T3,2,B2_N0,,
top_HSMC_RX_n9,Unknown,PIN_R3,2,B2_N0,,
top_HSMC_CLKIN_n2,Unknown,PIN_N18,5,B5_N0,,
top_HSMC_CLKIN_p1,Unknown,PIN_F17,6,B6_N0,,
top_HSMC_TX_n11,Unknown,PIN_H18,6,B6_N0,,
top_HSMC_RX_n6,Unknown,PIN_L5,2,B2_N0,,
top_HSMC_RX_n7,Unknown,PIN_L3,2,B2_N0,,
top_HSMC_RX_p7,Unknown,PIN_L4,2,B2_N0,,
top_HSMC_RX_p6,Unknown,PIN_K5,2,B2_N0,,
top_HSMC_RX_n10,Unknown,PIN_G18,6,B6_N0,,
top_HSMC_TX_p14,Unknown,PIN_P17,5,B5_N0,,
top_HSMC_TX_p11,Unknown,PIN_H17,6,B6_N0,,
top_HSMC_TX_n15,Unknown,PIN_R4,2,B2_N0,,
top_HSMC_TX_p16,Unknown,PIN_T17,5,B5_N0,,
top_HSMC_TX_n16,Unknown,PIN_T18,5,B5_N0,,
top_HSMC_RX_p12,Unknown,PIN_L16,5,B5_N0,,
top_HSMC_RX_n12,Unknown,PIN_M17,5,B5_N0,,
top_HSMC_RX_n15,Unknown,PIN_N6,3,B3_N0,,
top_HSMC_RX_p16,Unknown,PIN_M13,4,B4_N0,,
top_HSMC_RX_n16,Unknown,PIN_N13,4,B4_N0,,
top_HSMC_CLKOUT_p1,Unknown,PIN_D14,7,B7_N0,,
top_HSMC_RX_p14,Unknown,PIN_R17,5,B5_N0,,
top_HSMC_RX_n13,Unknown,PIN_M14,5,B5_N0,,
top_HSMC_RX_p13,Unknown,PIN_L13,5,B5_N0,,
top_HSMC_RX_n14,Unknown,PIN_R18,5,B5_N0,,
top_HSMC_RX_p15,Unknown,PIN_M6,3,B3_N0,,
top_HSMC_RX_p11,Unknown,PIN_K18,5,B5_N0,,
top_HSMC_CLKIN_p2,Unknown,PIN_N17,5,B5_N0,,
top_HSMC_RX_n11,Unknown,PIN_L18,5,B5_N0,,
top_HSMC_RX_p10,Unknown,PIN_G17,6,B6_N0,,
top_HSMC_CLKOUT_p2,Unknown,PIN_U18,4,B4_N0,,
top_HSMC_CLKOUT_n2,Unknown,PIN_V18,4,B4_N0,,
top_HSMC_TX_p15,Unknown,PIN_R5,2,B2_N0,,
top_HC_VGA_DATA[0],Unknown,PIN_K17,5,B5_N0,,
top_HC_VGA_DATA[1],Unknown,PIN_P11,4,B4_N0,,
top_HC_VGA_DATA[2],Unknown,PIN_B2,1,B1_N0,,
top_HC_VGA_DATA[3],Unknown,PIN_B1,1,B1_N0,,
top_HC_VGA_DATA[4],Unknown,PIN_G2,1,B1_N0,,
top_HC_VGA_DATA[5],Unknown,PIN_G1,1,B1_N0,,
top_HC_VGA_DATA[6],Unknown,PIN_K2,2,B2_N0,,
top_HC_VGA_DATA[7],Unknown,PIN_K1,2,B2_N0,,
top_HC_VGA_DATA[8],Unknown,PIN_L2,2,B2_N0,,
top_HC_VGA_DATA[9],Unknown,PIN_L1,2,B2_N0,,
top_HC_VGA_CLOCK,Unknown,PIN_C14,7,B7_N0,,
top_HC_VGA_HS,Unknown,PIN_H15,6,B6_N0,,
top_HC_VGA_VS,Unknown,PIN_J13,6,B6_N0,,
top_HC_VGA_BLANK,Unknown,PIN_N10,4,B4_N0,,
top_HC_VGA_SYNC,Unknown,PIN_N11,4,B4_N0,,
top_HC_TD_D[0],Unknown,PIN_H16,6,B6_N0,,
top_HC_TD_D[1],Unknown,PIN_N16,5,B5_N0,,
top_HC_TD_D[2],Unknown,PIN_N15,5,B5_N0,,
top_HC_TD_D[3],Unknown,PIN_R16,5,B5_N0,,
top_HC_TD_D[4],Unknown,PIN_T16,5,B5_N0,,
top_HC_TD_D[5],Unknown,PIN_C2,1,B1_N0,,
top_HC_TD_D[6],Unknown,PIN_C1,1,B1_N0,,
top_HC_TD_D[7],Unknown,PIN_H2,1,B1_N0,,
top_HC_TD_HS,Unknown,PIN_L5,2,B2_N0,,
top_HC_TD_VS,Unknown,PIN_K5,2,B2_N0,,
top_HC_TD_27MHZ,Unknown,PIN_F18,6,B6_N0,,
